wkt_geom,fid,full_id,osm_id,osm_type,natural,circumference,species,height,leaf_cycle,lit,leaf_type,denotation
Point (-106.65285919999999464 52.09264480000000219),3436,n4290647163,4290647163,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65297099999999375 52.09262480000000295),3437,n4290647164,4290647164,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65307880000000296 52.09268850000000128),3438,n4290647165,4290647165,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65316210000000297 52.09274469999999724),3439,n4290647166,4290647166,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65333080000000621 52.09278710000000245),3440,n4290647167,4290647167,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65345279999999661 52.09279209999999694),3441,n4290647168,4290647168,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65355040000000031 52.09273340000000019),3442,n4290647169,4290647169,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.6535401999999948 52.09265849999999887),3443,n4290647170,4290647170,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65354220000000396 52.09257360000000148),3444,n4290647171,4290647171,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65354220000000396 52.09249989999999997),3445,n4290647172,4290647172,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65353410000000167 52.09241500000000258),3446,n4290647173,4290647173,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65355649999999343 52.09236880000000269),3447,n4290647174,4290647174,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65344670000000349 52.0923374999999993),3448,n4290647175,4290647175,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65334710000000484 52.0924112000000008),3449,n4290647176,4290647176,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65326779999999474 52.09246240000000228),3450,n4290647177,4290647177,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65316210000000297 52.09252610000000061),3451,n4290647178,4290647178,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65306449999999927 52.09258229999999656),3452,n4290647179,4290647179,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65278200000000197 52.0926047999999966),3453,n4290647180,4290647180,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65280029999999556 52.09252109999999902),3454,n4290647181,4290647181,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65366830000000675 52.09283210000000253),3455,n4290647182,4290647182,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.6536988000000008 52.09276220000000279),3456,n4290647183,4290647183,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65371100000000126 52.09265229999999747),3457,n4290647184,4290647184,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65371100000000126 52.09254980000000046),3458,n4290647185,4290647185,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65371299999999621 52.09246989999999755),3459,n4290647186,4290647186,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65376179999999806 52.09239250000000254),3460,n4290647187,4290647187,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65394270000000176 52.09225390000000289),3461,n4290647188,4290647188,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65403820000000223 52.09220020000000062),3462,n4290647189,4290647189,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65412360000000547 52.0921377000000021),3463,n4290647190,4290647190,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65423540000000457 52.09206280000000078),3464,n4290647191,4290647191,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65431870000000458 52.09201029999999832),3465,n4290647192,4290647192,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65441020000000094 52.09194790000000097),3466,n4290647193,4290647193,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65421910000000594 52.0919791000000032),3467,n4290647194,4290647194,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65430250000000001 52.09191919999999953),3468,n4290647195,4290647195,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65409920000000454 52.0920178000000007),3469,n4290647196,4290647196,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.6539812999999981 52.09205399999999742),3470,n4290647197,4290647197,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65375360000000171 52.09203409999999934),3471,n4290647198,4290647198,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65388369999999441 52.0920203000000015),3472,n4290647199,4290647199,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65363370000000032 52.09204030000000074),3473,n4290647200,4290647200,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65350359999999341 52.09203899999999976),3474,n4290647201,4290647201,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65337350000000072 52.09201279999999912),3475,n4290647202,4290647202,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65334099999999751 52.0921315000000007),3476,n4290647203,4290647203,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65341420000000028 52.09220390000000123),3477,n4290647204,4290647204,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65326579999999979 52.09206400000000059),3478,n4290647205,4290647205,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.6532006999999993 52.09214769999999817),3479,n4290647206,4290647206,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65326989999999796 52.09221509999999711),3480,n4290647207,4290647207,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65319259999999701 52.09222760000000108),3481,n4290647208,4290647208,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65281450000000518 52.09244240000000303),3482,n4290647209,4290647209,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65366620000000353 52.09227130000000017),3483,n4290647210,4290647210,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65364590000000078 52.0921352000000013),3484,n4290647211,4290647211,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65356049999999755 52.0921352000000013),3485,n4290647212,4290647212,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65385929999999348 52.09214649999999835),3486,n4290647213,4290647213,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65376379999999301 52.09221889999999888),3487,n4290647214,4290647214,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65344469999999433 52.0918617000000026),3488,n4290647215,4290647215,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65326170000000161 52.09191919999999953),3489,n4290647216,4290647216,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65335120000000302 52.09176800000000185),3490,n4290647217,4290647217,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65344059999999615 52.09171429999999958),3491,n4290647218,4290647218,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65363979999999344 52.09163319999999686),3492,n4290647219,4290647219,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65372720000000584 52.09174809999999667),3493,n4290647220,4290647220,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65383090000000266 52.09157450000000011),3494,n4290647221,4290647221,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65407279999999446 52.09158190000000133),3495,n4290647222,4290647222,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65418859999999768 52.09140339999999725),3496,n4290647223,4290647223,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65426390000000367 52.09134089999999873),3497,n4290647224,4290647224,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65434919999999863 52.09127349999999979),3498,n4290647225,4290647225,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65423540000000457 52.09122479999999911),3499,n4290647226,4290647226,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.6540320999999949 52.09120730000000066),3500,n4290647227,4290647227,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65394469999999671 52.09122980000000069),3501,n4290647228,4290647228,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65388980000000174 52.09129089999999707),3502,n4290647229,4290647229,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65365400000000307 52.09147449999999679),3503,n4290647230,4290647230,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65407279999999446 52.09131969999999967),3504,n4290647231,4290647231,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65411550000000318 52.09124849999999896),3505,n4290647232,4290647232,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.6545423000000028 52.09139840000000277),3506,n4290647233,4290647233,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65458499999999731 52.09144460000000265),3507,n4290647234,4290647234,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65464400000000467 52.0915419999999969),3508,n4290647235,4290647235,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65473749999999598 52.09135959999999699),3509,n4290647236,4290647236,node,tree,NULL,NULL,NULL,NULL,NULL,broadleaved,park
Point (-106.65693790000000263 52.09967790000000321),3510,n4312195278,4312195278,node,tree,NULL,NULL,8,NULL,NULL,broadleaved,urban
Point (-106.65693790000000263 52.09960869999999744),3511,n4312195279,4312195279,node,tree,NULL,NULL,8,NULL,NULL,broadleaved,urban
Point (-106.65701570000000231 52.09961530000000351),3512,n4312195280,4312195280,node,tree,NULL,NULL,6,NULL,NULL,needleleaved,urban
Point (-106.65702910000000259 52.09947530000000171),3513,n4312195281,4312195281,node,tree,NULL,NULL,8,NULL,NULL,broadleaved,urban
Point (-106.65702109999999436 52.09928409999999843),3514,n4312195282,4312195282,node,tree,NULL,NULL,9,NULL,NULL,needleleaved,urban
Point (-106.65735899999999958 52.09965650000000181),3515,n4312195283,4312195283,node,tree,NULL,NULL,7,NULL,NULL,needleleaved,urban
Point (-106.65739120000000639 52.0995790999999997),3516,n4312195284,4312195284,node,tree,NULL,NULL,7,NULL,NULL,needleleaved,urban
Point (-106.65745019999999954 52.09946870000000274),3517,n4312195285,4312195285,node,tree,NULL,NULL,7,NULL,NULL,broadleaved,urban
Point (-106.65704789999999491 52.09931379999999734),3518,n4312195286,4312195286,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.65692180000000633 52.09918199999999899),3519,n4312195287,4312195287,node,tree,NULL,NULL,3.5,NULL,NULL,broadleaved,urban
Point (-106.65689229999999554 52.09906010000000265),3520,n4312195288,4312195288,node,tree,NULL,NULL,3.5,NULL,NULL,broadleaved,urban
Point (-106.65727979999999775 52.09918530000000203),3521,n4312195389,4312195389,node,tree,NULL,NULL,8,NULL,NULL,needleleaved,urban
Point (-106.65735680000000229 52.09916659999999666),3522,n4312195390,4312195390,node,tree,NULL,NULL,7,NULL,NULL,needleleaved,urban
Point (-106.65741520000000264 52.09912789999999916),3523,n4312195391,4312195391,node,tree,NULL,NULL,7,NULL,NULL,needleleaved,urban
Point (-106.65731010000000367 52.09913079999999752),3524,n4312195392,4312195392,node,tree,NULL,NULL,7,NULL,NULL,needleleaved,urban
Point (-106.6569417000000044 52.09976869999999849),3525,n4312195393,4312195393,node,tree,NULL,NULL,4,NULL,NULL,broadleaved,urban
Point (-106.65691089999999974 52.09990299999999763),3526,n4312195394,4312195394,node,tree,NULL,NULL,4,NULL,NULL,broadleaved,urban
Point (-106.65694580000000258 52.10006940000000242),3527,n4312195395,4312195395,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.6569860000000034 52.10011060000000072),3528,n4312195396,4312195396,node,tree,NULL,NULL,6,NULL,NULL,needleleaved,urban
Point (-106.65717909999999335 52.10011889999999823),3529,n4312195397,4312195397,node,tree,NULL,NULL,6,NULL,NULL,needleleaved,urban
Point (-106.65730519999999615 52.09998050000000092),3530,n4312195398,4312195398,node,tree,NULL,NULL,6,NULL,NULL,broadleaved,urban
Point (-106.65774940000000015 52.10013020000000239),3531,n4312195400,4312195400,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.65783389999999997 52.10013270000000318),3532,n4312195401,4312195401,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.65795310000000029 52.10012960000000248),3533,n4312195402,4312195402,node,tree,NULL,NULL,6,NULL,NULL,needleleaved,urban
Point (-106.65801319999999919 52.10011260000000277),3534,n4312195403,4312195403,node,tree,NULL,NULL,6,NULL,NULL,needleleaved,urban
Point (-106.65799320000000705 52.09992429999999786),3535,n4312195405,4312195405,node,tree,NULL,NULL,6,NULL,NULL,needleleaved,urban
Point (-106.65801480000000367 52.10001609999999772),3536,n4312195406,4312195406,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.65764810000000296 52.09984479999999962),3537,n4312195407,4312195407,node,tree,NULL,NULL,6,NULL,NULL,broadleaved,urban
Point (-106.65803940000000694 52.0997472999999971),3538,n4312195408,4312195408,node,tree,NULL,NULL,9,NULL,NULL,broadleaved,urban
Point (-106.65802859999999441 52.09960350000000062),3539,n4312195409,4312195409,node,tree,NULL,NULL,9,NULL,NULL,broadleaved,urban
Point (-106.65803940000000694 52.09982020000000347),3540,n4312195410,4312195410,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.65802250000000129 52.09944349999999957),3541,n4312195411,4312195411,node,tree,NULL,NULL,9,NULL,NULL,broadleaved,urban
Point (-106.65802549999999371 52.09939909999999941),3542,n4312195412,4312195412,node,tree,NULL,NULL,9,NULL,NULL,broadleaved,urban
Point (-106.65801940000000059 52.09918900000000264),3543,n4312195413,4312195413,node,tree,NULL,NULL,8,NULL,NULL,broadleaved,urban
Point (-106.65802859999999441 52.09952020000000061),3544,n4312195414,4312195414,node,tree,NULL,NULL,4,NULL,NULL,broadleaved,urban
Point (-106.65773749999999609 52.09968580000000316),3545,n4312195415,4312195415,node,tree,NULL,NULL,6,NULL,NULL,broadleaved,urban
Point (-106.65798239999999453 52.09936499999999882),3546,n4312195416,4312195416,node,tree,NULL,NULL,4,NULL,NULL,broadleaved,urban
Point (-106.65802250000000129 52.09894669999999905),3547,n4312195417,4312195417,node,tree,NULL,NULL,6,NULL,NULL,broadleaved,urban
Point (-106.65802549999999371 52.09901579999999655),3548,n4312195418,4312195418,node,tree,NULL,NULL,4,NULL,NULL,broadleaved,urban
Point (-106.6580177999999961 52.09887200000000007),3549,n4312195419,4312195419,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.65795780000000548 52.09884830000000022),3550,n4312195420,4312195420,node,tree,NULL,NULL,7,NULL,NULL,broadleaved,urban
Point (-106.657742099999993 52.09900919999999758),3551,n4312195421,4312195421,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.65760339999999928 52.09902240000000262),3552,n4312195422,4312195422,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.65766809999999509 52.0988529999999983),3553,n4312195423,4312195423,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.6576141999999976 52.09885109999999742),3554,n4312195424,4312195424,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.6575665000000015 52.098852100000002),3555,n4312195425,4312195425,node,tree,NULL,NULL,5,NULL,NULL,broadleaved,urban
Point (-106.65760090000000559 52.09934810000000027),3556,n4312195426,4312195426,node,tree,NULL,NULL,8,NULL,NULL,broadleaved,urban
Point (-106.65764059999999347 52.09922759999999897),3557,n4312195427,4312195427,node,tree,NULL,NULL,6,NULL,NULL,broadleaved,urban
Point (-106.65841849999999624 52.09909549999999712),3558,n4312195431,4312195431,node,tree,NULL,NULL,7,NULL,NULL,broadleaved,urban
Point (-106.65878870000000234 52.09907739999999876),3559,n4312195432,4312195432,node,tree,NULL,NULL,8,NULL,NULL,needleleaved,urban
Point (-106.65893350000000339 52.09910370000000057),3560,n4312195433,4312195433,node,tree,NULL,NULL,7,NULL,NULL,needleleaved,urban
Point (-106.65859290000000215 52.09908889999999815),3561,n4312195434,4312195434,node,tree,NULL,NULL,7,NULL,NULL,needleleaved,urban
Point (-106.6590450000000061 52.09910260000000193),3562,n4312195435,4312195435,node,tree,NULL,NULL,8,NULL,NULL,needleleaved,urban
Point (-106.65900299999999845 52.09906680000000279),3563,n4312195436,4312195436,node,tree,NULL,NULL,8,NULL,NULL,needleleaved,urban
Point (-106.65886989999999912 52.09904240000000186),3564,n4312195437,4312195437,node,tree,NULL,NULL,4,NULL,NULL,broadleaved,urban
Point (-106.6591827999999964 52.09921880000000272),3565,n4312195438,4312195438,node,tree,NULL,NULL,3,NULL,NULL,broadleaved,urban
Point (-106.65918979999999294 52.09929910000000319),3566,n4312195440,4312195440,node,tree,NULL,NULL,7,NULL,NULL,broadleaved,urban
Point (-106.65899369999999635 52.09930489999999992),3567,n4312195441,4312195441,node,tree,NULL,NULL,7,NULL,NULL,broadleaved,urban
Point (-106.6588395999999932 52.09933070000000299),3568,n4312195442,4312195442,node,tree,NULL,NULL,3,NULL,NULL,broadleaved,urban
Point (-106.65862470000000428 52.09928339999999736),3569,n4312195443,4312195443,node,tree,NULL,NULL,8,NULL,NULL,needleleaved,urban
Point (-106.65874150000000498 52.09926899999999961),3570,n4312195444,4312195444,node,tree,NULL,NULL,7,NULL,NULL,needleleaved,urban
Point (-106.65849880000000383 52.09927640000000082),3571,n4312195445,4312195445,node,tree,NULL,NULL,7,NULL,NULL,needleleaved,urban
Point (-106.65838879999999733 52.09931850000000253),3572,n4312195446,4312195446,node,tree,NULL,NULL,3,NULL,NULL,broadleaved,urban
Point (-106.65858590000000561 52.09920720000000216),3573,n4312195447,4312195447,node,tree,NULL,NULL,4,NULL,NULL,broadleaved,urban
