wkt_geom,fid,full_id,osm_id,osm_type,highway,lamp_mount,material,power,lamp_type,lit
Point (-106.65013940000000048 52.09337219999999746),756,n4310818195,4310818195,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65398279999999431 52.09337099999999765),757,n4310818208,4310818208,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66259990000000357 52.09559850000000125),758,n4310818233,4310818233,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65751459999999895 52.09868019999999689),759,n4311268110,4311268110,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65829519999999775 52.09892740000000089),760,n4312195428,4312195428,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65828179999999747 52.09945470000000256),761,n4312195429,4312195429,node,street_lamp,NULL,NULL,NULL,,
Point (-106.65829789999999377 52.09981189999999884),762,n4312234490,4312234490,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65861169999999447 52.10015130000000028),763,n4312444889,4312444889,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.659201699999997 52.10015130000000028),764,n4312444890,4312444890,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65970389999999668 52.10014939999999939),765,n4312444891,4312444891,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66016910000000451 52.10014840000000191),766,n4312444892,4312444892,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66065360000000339 52.10014890000000065),767,n4312444893,4312444893,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66108400000000245 52.1001503000000028),768,n4312444896,4312444896,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66152309999999659 52.10014780000000201),769,n4312444897,4312444897,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.66206579999999349 52.10014660000000219),770,n4312444898,4312444898,node,street_lamp,NULL,NULL,pole,electric,
Point (-106.65999999999999659 52.09831969999999757),771,n4312444990,4312444990,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.66041060000000584 52.09880799999999823),772,n4312444991,4312444991,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.66067889999999352 52.09929619999999773),773,n4312444992,4312444992,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.66092290000000276 52.09980319999999665),774,n4312444993,4312444993,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65971539999999607 52.09802630000000079),775,n4312445000,4312445000,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65827989999999659 52.09857650000000007),776,n4312445041,4312445041,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65827529999999967 52.09824660000000307),777,n4312445042,4312445042,node,street_lamp,NULL,NULL,NULL,electric,
Point (-106.65900849999999878 52.09817780000000198),778,n4312445043,4312445043,node,street_lamp,NULL,NULL,NULL,electric,
